Title,Location,Price,Area
                          Apartment Govert Flinckstraat                              ,             1073 BW Amsterdam (Oude Pijp)         ,"                 €1,650 per month             ",60 m²
                          Apartment Lange Leidsedwarsstraat                              ,             1017 NM Amsterdam (De Weteringschans)         ,"                 €1,800 per month             ",47 m²
                          Apartment Barbusselaan                              ,"             1102 TZ Amsterdam (Bijlmer Centrum (D,F,H))         ","                 €1,375 per month             ",45 m²
                          Apartment Bos en Lommerplein                              ,             1055 EK Amsterdam (Landlust)         ,"                 €2,850 per month             ",97 m²
                          Apartment Keizersgracht 634 D                              ,             1017 ER Amsterdam (Grachtengordel-Zuid)         ,                 €229 per month             ,60 m²
                          Apartment Zeeburgerdijk 78 I                              ,             1094 AG Amsterdam (Indische Buurt West)         ,"                 €1,750 per month             ",45 m²
                          Apartment Theophile de Bockstraat 75                              ,             1058 VA Amsterdam (Hoofddorppleinbuurt)         ,"                 €1,600 per month             ",55 m²
                          House Leidsegracht 55                              ,             1017 NB Amsterdam (Grachtengordel-Zuid)         ,"                 €5,100 per month             ",190 m²
                          House Holbeinstraat                              ,             1077 VC Amsterdam (Apollobuurt)         ,"                 €6,950 per month             ",200 m²
                          Apartment Het Breed                              ,             1025 HW Amsterdam (Buikslotermeer)         ,"                 €1,925 per month             ",62 m²
                          Apartment Postjeskade 149 I                              ,             1058 DN Amsterdam (Westindische Buurt)         ,"                 €1,800 per month             ",65 m²
                          Apartment Nassaukade 155 2                              ,             1053 LK Amsterdam (Da Costabuurt)         ,"                 €1,850 per month             ",70 m²
                          Apartment Surinameplein                              ,             1058 GH Amsterdam (Hoofddorppleinbuurt)         ,"                 €2,250 per month             ",70 m²
                          Apartment Bentinckstraat                              ,             1051 GD Amsterdam (Staatsliedenbuurt)         ,"                 €2,500 per month             ",87 m²
                          Apartment Meer en Vaart 36 A                              ,             1068 ZZ Amsterdam (Osdorp-Oost)         ,"                 €1,640 per month             ",122 m²
                          Apartment Griseldestraat 28 4                              ,             1055 AX Amsterdam (Erasmuspark)         ,"                 €2,000 per month             ",62 m²
                          Apartment Holbeinstraat 57 1                              ,             1077 VC Amsterdam (Apollobuurt)         ,"                 €2,750 per month             ",113 m²
                          Apartment Kromme-Mijdrechtstraat 73 II                              ,             1079 KS Amsterdam (Rijnbuurt)         ,"                 €1,950 per month             ",50 m²
                          Apartment Ceintuurbaan 31 3                              ,             1072 ES Amsterdam (Oude Pijp)         ,"                 €2,250 per month             ",45 m²
                          Apartment Ruysdaelstraat                              ,             1071 WX Amsterdam (Museumkwartier)         ,"                 €2,350 per month             ",70 m²
                          Apartment Nicolaas Maesstraat                              ,             1071 RG Amsterdam (Museumkwartier)         ,"                 €3,150 per month             ",98 m²
                          Apartment Omval 42                              ,             1096 HV Amsterdam (Omval/Overamstel)         ,"                 €2,350 per month             ",105 m²
                          Apartment Javakade 134 incl. P                              ,             1019 RW Amsterdam (Oostelijk Havengebied)         ,"                 €2,250 per month             ",115 m²
                          Apartment Van Nijenrodeweg 587                              ,             1082 HV Amsterdam (Buitenveldert-West)         ,"                 €1,950 per month             ",87 m²
                          Apartment Eerste Nassaustraat                              ,             1052 BH Amsterdam (Staatsliedenbuurt)         ,"                 €2,750 per month             ",100 m²
                          Apartment Rozengracht                              ,             1016 SZ Amsterdam (Jordaan)         ,"                 €2,500 per month             ",80 m²
                          Apartment Wibautstraat                              ,             1091 GS Amsterdam (Weesperzijde)         ,"                 €2,700 per month             ",105 m²
                          Apartment Haarlemmerdijk                              ,             1013 KC Amsterdam (Haarlemmerbuurt)         ,"                 €2,150 per month             ",60 m²
                          Apartment Céramiquelaan 211 *                              ,             1031 KG Amsterdam (Noordelijke IJ-oevers West)         ,"                 €15,000 per month             ",250 m²
                          Apartment Van Oldenbarneveldtstraat                              ,             1052 KA Amsterdam (Frederik Hendrikbuurt)         ,"                 €2,200 per month             ",72 m²
